"","LAT","LON"
"846",-73.78412,40.67486
"847",-73.9943,40.7015
"848",-73.78744,40.67506
"849",-73.78955,40.67454
"850",-73.78861,40.6714
"851",-73.78896,40.66978
"852",-73.80905,40.771229
"853",-73.808748,40.769751
"854",-73.807508,40.769652
"855",-73.805968,40.769536
"856",-73.805507,40.770532
"857",-73.984222,40.754447
"858",-73.9988,40.6943
"859",-73.983094,40.754317
"860",-73.983964,40.753164
"861",-73.984769,40.753689
"862",-73.98164,40.752776
"863",-73.995382,40.68063
"864",-73.995382,40.68063
"865",-73.82472,40.75141
"866",-73.82284,40.75014
"867",-73.81732,40.7437
"868",-73.81396,40.74366
"869",-73.9903999999,40.7359999997
"870",-73.9833000001,40.7537999998
"871",-74.0019,40.693
"872",-73.81357,40.74549
"873",-73.81151,40.74243
"874",-73.82121,40.74849
"875",-73.80419,40.74381
"876",-73.80816,40.74191
"877",-73.80342,40.74589
"878",-73.80286,40.74726
"879",-73.8027,40.74914
"880",-73.80506,40.75
"881",-73.80719,40.75017
"882",-73.8117,40.74761
"883",-73.9755,40.6915
"884",-73.9462,40.6898
"885",-73.81815,40.74756
"886",-73.988692,40.742378
"887",-73.9883,40.7431
"888",-73.987914,40.7411
"889",-73.987364,40.741875
"890",-73.986906,40.742492
"891",-73.98894,40.74148
"892",-73.976164,40.663256
"893",-73.976292,40.663019
"894",-73.9502,40.7201
"895",-73.9683,40.6509
"896",-73.974,40.7729
"897",-73.9709,40.771
"898",-73.9771,40.7721
"899",-73.9712,40.768
"900",-73.976292,40.663094
"901",-73.976083,40.663381
"902",-73.765364,40.675979
"903",-73.770693,40.679472
"904",-73.767752,40.679963
"905",-73.985075,40.785958
"906",-73.99798,40.71025
"907",-73.9361,40.8292
"908",-73.9443,40.8048
"909",-73.99798,40.71025
"910",-73.99798,40.71025
"911",-73.99798,40.71025
"912",-73.99798,40.71025
"913",-73.99798,40.71025
"914",-73.737718,40.739154
"915",-73.736825,40.739353
"916",-73.73592,40.739547
"917",-73.735041,40.739739
"918",-73.73458,40.739909
"919",-74.0149,40.7016
"920",-74.0168,40.703
"921",-73.734311,40.740214
"922",-73.825241,40.75797
"923",-73.825078,40.75858
"924",-73.997656,40.696675
"925",-73.997486,40.696989
"926",-73.997333,40.697344
"927",-73.997183,40.697669
"928",-73.996944,40.698103
"929",-73.990349,40.696732
"930",-74.00089,40.749908
"931",-74.0162138359,40.7154881544
"932",-74.0073877576,40.7431927759
"933",-73.9862316255,40.605690343
"934",-73.9894467672,40.6230645344
"935",-74.000711,40.749783
"936",-74.002068,40.74827
"937",-74.002068,40.74827
"938",-74.002068,40.74827
"939",-74.002068,40.74827
"940",-74.002068,40.74827
"941",-74.006961,40.712307
"942",-74.009903,40.70935
"943",-74.108186,40.618064
"944",-73.7946780399,40.7078731318
"945",-73.8808642734,40.7129435708
"946",-73.8251699639,40.7429309465
"947",-73.9348475633,40.8030181614
"948",-73.9682243829,40.6723435263
"949",-74.0136300012,40.645912124
"950",-73.9434510796,40.7942156129
"951",-73.966030666,40.6873790941
"952",-74.0037002996,40.7071990996
"953",-74.0036011004,40.7070998997
"954",-74.0035019003,40.7070006997
"955",-74.0031966998,40.7066001999
"956",-74.0026015994,40.7051010003
"957",-74.0022963999,40.7047997001
"958",-74.0049973006,40.7070998998
"959",-74.0045012998,40.7065010001
"960",-74.0061035001,40.7062988002
